ID_DESASTRES,FECHA,DEPTO,MUNICIPIO,TIPO_EVENTO,DIVIPOLA,FALLECIDOS,HERIDOS,DESAPA,AFECTADOS,FAMILIAS,VIV_DESTRU,VIV_AVERI,COD_DANE_MP,COD_DEP,COD_MUN,COD_DEP_MUN,ID_DESASTRES
2509TEIY,2001-03-21,VALLE DEL CAUCA,EL ÁGUILA,MOVIMIENTO EN MASA,0,0,0,0,0,0,0,0,76.243,76,243,76243,2509TEIY
2924XSJL,2001-03-25,CALDAS,SALAMINA,VENDAVAL,0,0,0,0,150,30,0,30,17.653,17,653,17653,2924XSJL
5532WJUH,2001-04-01,CALDAS,MARQUETALIA,VENDAVAL,0,0,0,0,190,38,0,38,17.444,17,444,17444,5532WJUH
2007HXQN,2001-04-03,CAUCA,MORALES,VENDAVAL,0,0,0,0,735,147,0,147,19.473,19,473,19473,2007HXQN
5883HBFG,2001-04-04,CHOCÓ,ALTO BAUDO,INUNDACION,0,0,0,0,220,44,0,44,27.025,27,025,27025,5883HBFG
1172RKCR,2001-04-07,PUTUMAYO,SIBUNDOY,INUNDACION,0,0,0,0,955,121,0,118,86.749,86,749,86749,1172RKCR
3096GLFS,2001-04-07,PUTUMAYO,COLÓN,INUNDACION,0,0,0,0,25,5,5,0,86.219,86,219,86219,3096GLFS
5493QYXM,2001-04-07,PUTUMAYO,MOCOA,INUNDACION,0,0,0,0,100,10,0,0,86.001,86,001,86001,5493QYXM
5706OQBG,2001-04-07,PUTUMAYO,SAN FRANCISCO,INUNDACION,0,0,0,0,0,0,0,0,86.755,86,755,86755,5706OQBG
5646NKIJ,2001-04-15,SUCRE,SINCELEJO,INUNDACION,0,0,0,0,250,43,0,0,70.001,70,001,70001,5646NKIJ
6173LHQM,2001-04-15,SUCRE,SINCELEJO,VENDAVAL,0,0,0,0,235,47,0,47,70.001,70,001,70001,6173LHQM
9439FVEF,2001-04-19,ANTIOQUIA,ZARAGOZA,INUNDACION,0,0,0,0,500,100,0,100,5.895,5,895,5895,9439FVEF
8238GRUK,2001-04-19,CHOCÓ,RIOSUCIO,VENDAVAL,27615,0,0,0,180,36,0,36,27.615,27,615,27615,8238GRUK
6063KGJP,2001-04-19,AMAZONAS,PUERTO NARIÑO,INUNDACION,0,0,0,0,1465,293,0,0,91.54,91,540,91540,6063KGJP
5312WSDJ,2001-04-22,RISARALDA,SANTA ROSA DE CABAL,VENDAVAL,0,0,0,0,500,50,0,50,66.682,66,682,66682,5312WSDJ
0966YJMF,2001-04-28,SANTANDER,LANDÁZURI,VENDAVAL,0,0,0,0,1450,290,210,80,68.385,68,385,68385,0966YJMF
0995QIES,2001-05-01,SANTANDER,EL CARMEN DE CHUCURÍ,INUNDACION,0,0,0,0,148,30,3,28,68.235,68,235,68235,0995QIES
3738AIWW,2001-05-02,RISARALDA,MARSELLA,VENDAVAL,0,0,0,0,855,171,0,0,66.44,66,440,66440,3738AIWW
0202SEND,2001-05-05,SANTANDER,LEBRÍJA,INUNDACION,0,0,0,0,160,30,0,0,68.406,68,406,68406,0202SEND
6046QXYA,2001-05-07,CESAR,VALLEDUPAR,INUNDACION,0,0,0,0,70,11,1,10,20.001,20,001,20001,6046QXYA
3086MVZQ,2001-05-08,CESAR,TAMALAMEQUE,INUNDACION,0,0,0,0,0,0,0,0,20.787,20,787,20787,3086MVZQ
7574UMQI,2001-05-08,SANTANDER,EL PLAYÓN,INUNDACION,0,0,0,0,1750,350,10,72,68.255,68,255,68255,7574UMQI
6979NGKL,2001-05-08,CAUCA,TIMBIQUÍ,INUNDACION,0,0,0,0,9618,1603,17,135,19.809,19,809,19809,6979NGKL
3842YUSG,2001-05-08,TOLIMA,IBAGUÉ,MOVIMIENTO EN MASA,0,0,2,0,5,1,1,0,73.001,73,001,73001,3842YUSG
